date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-20,California,State,Delta,1.0,0.42,0.85714285714,0.131810193322
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Total,238.0,100.0,650.28571428571,100.0
2021-01-20,California,State,Gamma,1.0,0.42,0.28571428571,0.043936731107
2021-01-20,California,State,Epsilon,142.0,59.66,366.28571428571,56.326889279438
2021-01-20,California,State,Omicron,1.0,0.42,0.57142857142,0.087873462214
2021-01-21,California,State,Epsilon,52.0,50.0,313.85714285714,55.326114328884
2021-01-21,California,State,Alpha,28.0,26.92,14.71428571428,2.59380508688
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.050365147318
2021-01-21,California,State,Omicron,0.0,0.0,0.57142857142,0.100730294636
2021-01-21,California,State,Other,23.0,22.12,236.85714285714,41.752707126668
2021-01-21,California,State,Delta,1.0,0.96,1.0,0.176278015613
2021-01-21,California,State,Total,104.0,100.0,567.28571428571,100.0
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Epsilon,37.0,63.79,275.28571428571,55.533141210375
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Delta,1.0,1.72,0.85714285714,0.172910662824
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.057636887608
2021-01-22,California,State,Omicron,0.0,0.0,0.57142857142,0.115273775216
2021-01-22,California,State,Other,12.0,20.69,204.0,41.152737752161
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Total,58.0,100.0,495.71428571428,100.0
2021-01-22,California,State,Alpha,8.0,13.79,14.71428571428,2.968299711816
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Omicron,0.0,0.0,0.42857142857,0.10838150289
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Other,6.0,19.35,157.42857142857,39.812138728324
2021-01-23,California,State,Delta,0.0,0.0,0.85714285714,0.21676300578
2021-01-23,California,State,Alpha,11.0,35.48,13.85714285714,3.504335260116
2021-01-23,California,State,Epsilon,14.0,45.16,222.57142857142,56.28612716763
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.07225433526
2021-01-23,California,State,Total,31.0,100.0,395.42857142857,100.0
2021-01-24,California,State,Omicron,0.0,0.0,0.42857142857,0.12
2021-01-24,California,State,Total,48.0,100.0,357.14285714285,100.0
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Delta,0.0,0.0,0.85714285714,0.24
2021-01-24,California,State,Epsilon,36.0,75.0,201.71428571428,56.48
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Alpha,7.0,14.58,14.42857142857,4.04
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.04
2021-01-24,California,State,Other,5.0,10.42,139.57142857142,39.08
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Total,97.0,100.0,259.42857142857,100.0
2021-01-25,California,State,Alpha,5.0,5.15,13.28571428571,5.121145374449
2021-01-25,California,State,Epsilon,58.0,59.79,146.85714285714,56.607929515419
2021-01-25,California,State,Omicron,0.0,0.0,0.42857142857,0.165198237885
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.055066079295
2021-01-25,California,State,Other,34.0,35.05,98.14285714285,37.830396475771
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Delta,0.0,0.0,0.57142857142,0.220264317181
2021-01-26,California,State,Delta,1.0,0.17,0.57142857142,0.339847068819
2021-01-26,California,State,Epsilon,364.0,60.57,100.42857142857,59.728122344945
2021-01-26,California,State,Alpha,10.0,1.66,11.85714285714,7.051826677995
2021-01-26,California,State,Omicron,0.0,0.0,0.14285714285,0.084961767205
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.084961767205
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Other,226.0,37.6,55.0,32.710280373832
2021-01-26,California,State,Total,601.0,100.0,168.14285714285,100.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Total,743.0,100.0,240.28571428571,100.0
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Alpha,12.0,1.62,11.57142857142,4.815695600476
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,466.0,62.72,146.71428571428,61.058263971463
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Delta,1.0,0.13,0.57142857142,0.237812128419
2021-01-27,California,State,Other,264.0,35.53,81.42857142857,33.888228299643
2021-01-28,California,State,Gamma,3.0,0.34,0.42857142857,0.121359223301
2021-01-28,California,State,Alpha,26.0,2.91,11.28571428571,3.195792880259
2021-01-28,California,State,Total,894.0,100.0,353.14285714285,100.0
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Other,327.0,36.58,124.85714285714,35.355987055016
2021-01-28,California,State,Epsilon,534.0,59.73,215.57142857142,61.043689320388
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Delta,2.0,0.22,0.71428571428,0.202265372168
2021-01-28,California,State,Beta,2.0,0.22,0.28571428571,0.080906148867
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Epsilon,147.0,69.34,231.28571428571,61.652703731912
2021-01-29,California,State,Total,212.0,100.0,375.14285714285,100.0
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Delta,1.0,0.47,0.71428571428,0.19040365575
2021-01-29,California,State,Alpha,11.0,5.19,11.71428571428,3.122619954303
2021-01-29,California,State,Gamma,2.0,0.94,0.71428571428,0.19040365575
2021-01-29,California,State,Other,51.0,24.06,130.42857142857,34.767707539985
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.0761614623
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Other,29.0,26.13,133.71428571428,34.589800443459
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.073909830007
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Alpha,2.0,1.8,10.42857142857,2.69770879527
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.184774575018
2021-01-30,California,State,Total,111.0,100.0,386.57142857142,100.0
2021-01-30,California,State,Delta,0.0,0.0,0.71428571428,0.184774575018
2021-01-30,California,State,Epsilon,80.0,72.07,240.71428571428,62.269031781227
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-31,California,State,Epsilon,160.0,64.26,258.42857142857,62.229102167183
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Alpha,2.0,0.8,9.71428571428,2.33918128655
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Omicron,1.0,0.4,0.14285714285,0.034399724802
2021-01-31,California,State,Other,86.0,34.54,145.28571428571,34.984520123839
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.068799449604
2021-01-31,California,State,Total,249.0,100.0,415.28571428571,100.0
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.171998624011
2021-01-31,California,State,Delta,0.0,0.0,0.71428571428,0.171998624011
2021-02-01,California,State,Omicron,0.0,0.0,0.14285714285,0.02760905577
2021-02-01,California,State,Delta,0.0,0.0,0.71428571428,0.138045278851
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.055218111541
2021-02-01,California,State,Alpha,9.0,1.11,10.28571428571,1.987852015461
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.138045278851
2021-02-01,California,State,Total,812.0,100.0,517.42857142857,100.0
2021-02-01,California,State,Epsilon,565.0,69.58,330.85714285714,63.942573163998
2021-02-01,California,State,Other,238.0,29.31,174.42857142857,33.710657095527
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
